# ----- -----
# [Fe/  [O/H 
# H] ([ ]N ([
# Sun]) Sun])
# ----- -----
 -0.51 -0.23
 -0.35 -0.08
 -0.21 -0.11
 -0.02  0.12
 -0.08  0.14
 -0.25  0.01
 -0.11  0.09
 -0.12 -0.01
 -0.26 -0.06
 -0.22 -0.07
 -0.14 -0.04
 -0.38 -0.23
 -0.13 -0.01
 -0.07  0.10
 -0.22  0.09
 -0.54 -0.36
 -0.34 -0.08
 -1.00 -0.70
 -0.14  0.08
 -0.32 -0.10
 -0.44 -0.27
 -0.49  0.01
 -0.28 -0.05
 -1.22 -0.80
 -0.15  0.02
  0.04  0.04
 -0.81 -0.50
 -0.18 -0.04
 -0.21 -0.08
 -0.60 -0.38
 -0.45 -0.24
 -0.17  0.01
  0.13  0.19
 -0.58 -0.15
 -0.22 -0.05
 -0.33 -0.14
 -0.29 -0.11
 -0.02  0.12
 -0.04  0.04
  0.03  0.11
 -0.57 -0.06
 -0.09  0.03
 -0.27 -0.08
 -0.36  0.06
 -0.37 -0.24
  0.08  0.10
 -0.39  0.01
 -0.58 -0.20
 -0.08  0.08
 -0.38 -0.22
 -0.40 -0.23
 -0.10  0.11
 -0.08  0.05
 -0.56 -0.10
 -0.32 -0.07
 -0.03  0.04
 -0.05  0.06
 -0.67 -0.24
 -0.27  0.09
  0.11  0.15
 -0.29 -0.11
 -0.04  0.09
 -0.23 -0.05
 -0.40 -0.24
 -0.40 -0.16
  0.18  0.28
 -0.45 -0.19
 -0.09  0.03
 -0.21 -0.03
 -0.83 -0.34
 -0.14  0.06
 -0.37 -0.08
 -0.37 -0.23
 -0.39 -0.13
 -0.11  0.22
 -0.52 -0.35
 -0.33  0.02
  0.09  0.14
 -0.28  0.26
  0.00  0.10
  0.22  0.19
 -0.47 -0.27
  0.10  0.15
  0.04  0.05
 -0.44 -0.20
 -0.13  0.02
  0.16  0.18
 -0.55 -0.18
 -0.13 -0.01
 -0.83 -0.32
 -0.05  0.08
 -0.56 -0.36
 -0.80 -0.19
  0.05  0.04
 -0.18 -0.05
 -0.17 -0.05
 -0.83 -0.36
 -0.52 -0.31
  0.06  0.16
 -0.08  0.02
 -0.05  0.03
 -0.14  0.05
 -0.55 -0.08
 -0.24 -0.03
  0.12  0.20
 -0.31 -0.12
 -0.12  0.05
 -0.87 -0.41
 -0.50 -0.15
 -0.04  0.09
 -0.66 -0.28
 -0.83 -0.23
 -0.40 -0.22
  0.02  0.05
 -0.78 -0.23
 -0.40 -0.21
  0.15  0.15
 -0.58 -0.09
 -0.28 -0.16
  0.04  0.08
 -0.27 -0.09
 -0.61 -0.13
 -0.44 -0.25
 -0.38 -0.18
 -0.91 -0.43
 -0.27 -0.10
 -0.88 -0.60
 -0.33 -0.19
 -0.45  0.01
  0.03  0.08
 -0.30 -0.05
 -0.23 -0.13
 -0.31 -0.13
 -0.46  0.05
  0.07  0.17
 -0.42 -0.14
 -0.28 -0.12
 -0.46 -0.27
 -0.02  0.12
 -0.45 -0.20
 -0.33 -0.06
 -0.08 -0.03
 -0.93 -0.50
 -0.35 -0.14
 -0.23 -0.08
  0.17  0.22
 -0.44 -0.23
  0.27  0.32
  0.13  0.23
